_date,day,comp,round,venue,result,team,opponent,start,pos,mins,goals,assists,pk,pkatt,shots,sot,crdy,crdr,touches,tackles,_int,blocks,xg,npxg,xag,sca,gca,cmp,att,cmp_pct,prgp,carries,prgc,player_name
2023-09-16,Sat,Serie A,Matchweek 4,Home,W 5–1,Inter,Milan,Y,CB,90,0,0,0,0,1,0,0,0,51.0,2.0,0,1.0,0.2,0.2,0.0,0.0,0.0,35.0,41.0,85.4,1.0,30.0,0.0,Francesco Acerbi
2023-09-24,Sun,Serie A,Matchweek 5,Away,W 1–0,Inter,Empoli,Y,CB,90,0,0,0,0,0,0,1,0,65.0,0.0,1,1.0,0.0,0.0,0.0,1.0,0.0,56.0,62.0,90.3,5.0,45.0,0.0,Francesco Acerbi
2023-09-27,Wed,Serie A,Matchweek 6,Home,L 1–2,Inter,Sassuolo,Y,CB,90,0,0,0,0,1,1,0,0,82.0,1.0,5,0.0,0.1,0.1,0.0,1.0,0.0,65.0,74.0,87.8,2.0,41.0,1.0,Francesco Acerbi
2023-09-30,Sat,Serie A,Matchweek 7,Away,W 4–0,Inter,Salernitana,Y,CB,90,0,0,0,0,0,0,0,0,80.0,0.0,3,0.0,0.0,0.0,0.0,1.0,0.0,67.0,78.0,85.9,2.0,38.0,3.0,Francesco Acerbi
2023-10-03,Tue,Champions Lg,Group stage,Home,W 1–0,it Inter,pt Benfica,Y,CB,90,0,0,0,0,0,0,0,0,64.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,59.0,78.0,2.0,22.0,0.0,Francesco Acerbi
2023-10-07,Sat,Serie A,Matchweek 8,Home,D 2–2,Inter,Bologna,Y,CB,90,1,0,0,0,2,1,0,0,91.0,0.0,3,0.0,0.1,0.1,0.0,0.0,0.0,73.0,85.0,85.9,2.0,65.0,2.0,Francesco Acerbi
2023-10-21,Sat,Serie A,Matchweek 9,Away,W 3–0,Inter,Torino,Y,CB,90,0,1,0,0,0,0,0,0,68.0,3.0,1,1.0,0.0,0.0,0.6,1.0,1.0,53.0,60.0,88.3,1.0,30.0,0.0,Francesco Acerbi
2023-10-29,Sun,Serie A,Matchweek 10,Home,W 1–0,Inter,Roma,Y,CB,90,0,0,0,0,0,0,0,0,74.0,0.0,0,0.0,0.0,0.0,0.2,1.0,0.0,64.0,70.0,91.4,5.0,52.0,0.0,Francesco Acerbi
2023-11-04,Sat,Serie A,Matchweek 11,Away,W 2–1,Inter,Atalanta,Y,CB,90,0,0,0,0,1,0,0,0,53.0,2.0,0,1.0,0.0,0.0,0.0,0.0,0.0,38.0,44.0,86.4,2.0,27.0,1.0,Francesco Acerbi
2023-11-08,Wed,Champions Lg,Group stage,Away,W 1–0,it Inter,at RB Salzburg,Y,CB,90,0,0,0,0,0,0,0,0,55.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,36.0,45.0,80.0,4.0,34.0,2.0,Francesco Acerbi
2023-11-12,Sun,Serie A,Matchweek 12,Home,W 2–0,Inter,Frosinone,Y,CB,90,0,0,0,0,3,0,0,0,56.0,1.0,2,1.0,0.2,0.2,0.8,5.0,0.0,44.0,47.0,93.6,6.0,34.0,0.0,Francesco Acerbi
2023-11-26,Sun,Serie A,Matchweek 13,Away,D 1–1,Inter,Juventus,Y,CB,90,0,0,0,0,0,0,0,0,137.0,1.0,1,1.0,0.0,0.0,0.0,1.0,0.0,125.0,133.0,94.0,5.0,82.0,1.0,Francesco Acerbi
2023-11-29,Wed,Champions Lg,Group stage,Away,D 3–3,it Inter,pt Benfica,Y,CB,90,0,1,0,0,0,0,0,0,95.0,2.0,1,1.0,0.0,0.0,0.3,2.0,1.0,82.0,88.0,93.2,5.0,73.0,0.0,Francesco Acerbi
2023-12-03,Sun,Serie A,Matchweek 14,Away,W 3–0,Inter,Napoli,Y,CB,90,0,0,0,0,0,0,0,0,40.0,3.0,2,1.0,0.0,0.0,0.0,0.0,0.0,22.0,28.0,78.6,0.0,19.0,0.0,Francesco Acerbi
2023-12-09,Sat,Serie A,Matchweek 15,Home,W 4–0,Inter,Udinese,Y,CB,90,0,0,0,0,0,0,0,0,111.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,105.0,107.0,98.1,5.0,84.0,1.0,Francesco Acerbi
2023-12-12,Tue,Champions Lg,Group stage,Home,D 0–0,it Inter,es Real Sociedad,Y,CB,90,0,0,0,0,1,0,0,0,70.0,0.0,1,0.0,0.2,0.2,0.0,0.0,0.0,57.0,67.0,85.1,2.0,20.0,1.0,Francesco Acerbi
2023-12-17,Sun,Serie A,Matchweek 16,Away,W 2–0,Inter,Lazio,Y,CB,90,0,0,0,0,0,0,0,0,71.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,53.0,61.0,86.9,2.0,41.0,0.0,Francesco Acerbi
2023-12-23,Sat,Serie A,Matchweek 17,Home,W 2–0,Inter,Lecce,Y,CB,90,0,0,0,0,1,1,0,0,69.0,2.0,1,0.0,0.2,0.2,0.1,2.0,0.0,54.0,61.0,88.5,1.0,42.0,1.0,Francesco Acerbi
2023-12-29,Fri,Serie A,Matchweek 18,Away,D 1–1,Inter,Genoa,Y,CB,90,0,0,0,0,1,1,0,0,83.0,2.0,2,0.0,0.1,0.1,0.0,1.0,0.0,62.0,68.0,91.2,6.0,49.0,2.0,Francesco Acerbi
2024-01-06,Sat,Serie A,Matchweek 19,Home,W 2–1,Inter,Hellas Verona,Y,CB,90,0,0,0,0,1,0,0,0,67.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,55.0,64.0,85.9,2.0,51.0,0.0,Francesco Acerbi
2024-02-04,Sun,Serie A,Matchweek 23,Home,W 1–0,Inter,Juventus,Y,CB,90,0,0,0,0,1,0,0,0,64.0,0.0,1,1.0,0.0,0.0,0.0,1.0,0.0,55.0,55.0,100.0,2.0,45.0,0.0,Francesco Acerbi
2024-02-10,Sat,Serie A,Matchweek 24,Away,W 4–2,Inter,Roma,Y,CB,62,1,0,0,0,1,1,0,0,51.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,46.0,91.3,3.0,19.0,0.0,Francesco Acerbi
2024-03-09,Sat,Serie A,Matchweek 28,Away,W 1–0,Inter,Bologna,Y,CB,90,0,0,0,0,0,0,0,0,71.0,1.0,4,1.0,0.0,0.0,0.0,0.0,0.0,53.0,59.0,89.8,1.0,37.0,1.0,Francesco Acerbi
2024-03-17,Sun,Serie A,Matchweek 29,Home,D 1–1,Inter,Napoli,Y,CB,90,0,0,0,0,0,0,0,0,73.0,0.0,0,3.0,0.0,0.0,0.0,1.0,0.0,58.0,64.0,90.6,4.0,42.0,0.0,Francesco Acerbi
2024-04-01,Mon,Serie A,Matchweek 30,Home,W 2–0,Inter,Empoli,Y,CB,90,0,0,0,0,1,0,0,0,58.0,0.0,1,0.0,0.0,0.0,0.0,1.0,0.0,45.0,52.0,86.5,2.0,44.0,1.0,Francesco Acerbi
2024-04-08,Mon,Serie A,Matchweek 31,Away,W 2–1,Inter,Udinese,Y,CB,90,0,0,0,0,0,0,0,0,108.0,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,93.0,101.0,92.1,5.0,62.0,2.0,Francesco Acerbi
2024-04-14,Sun,Serie A,Matchweek 32,Home,D 2–2,Inter,Cagliari,Y,CB,90,0,0,0,0,0,0,0,0,99.0,1.0,1,0.0,0.0,0.0,0.0,2.0,0.0,89.0,95.0,93.7,10.0,71.0,2.0,Francesco Acerbi
2024-04-22,Mon,Serie A,Matchweek 33,Away,W 2–1,Inter,Milan,Y,CB,90,1,0,0,0,1,1,0,0,64.0,0.0,0,1.0,0.5,0.5,0.0,1.0,0.0,49.0,55.0,89.1,2.0,35.0,0.0,Francesco Acerbi
2023-09-27,Wed,Serie A,Matchweek 6,Away,W 3–1,Milan,Cagliari,Y,CM,57,0,0,0,0,0,0,0,0,84.0,3.0,0,3.0,0.0,0.0,0.1,5.0,1.0,72.0,78.0,92.3,12.0,57.0,0.0,Yacine Adli
2023-09-30,Sat,Serie A,Matchweek 7,Home,W 2–0,Milan,Lazio,Y,CM,69,0,0,0,0,1,0,0,0,56.0,1.0,2,0.0,0.0,0.0,0.0,2.0,0.0,39.0,47.0,83.0,2.0,39.0,0.0,Yacine Adli
2023-10-07,Sat,Serie A,Matchweek 8,Away,W 1–0,Milan,Genoa,Y,CM,65,0,0,0,0,0,0,1,0,71.0,2.0,1,0.0,0.0,0.0,0.0,2.0,0.0,55.0,67.0,82.1,7.0,43.0,2.0,Yacine Adli
2023-10-22,Sun,Serie A,Matchweek 9,Home,L 0–1,Milan,Juventus,Y,DM,59,0,0,0,0,0,0,0,0,35.0,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,29.0,75.9,6.0,24.0,3.0,Yacine Adli
2023-11-28,Tue,Champions Lg,Group stage,Home,L 1–3,it Milan,de Dortmund,Y,DM,76,0,0,0,0,2,0,0,0,81.0,1.0,2,0.0,0.1,0.1,0.1,2.0,0.0,58.0,71.0,81.7,6.0,53.0,2.0,Yacine Adli
2024-01-07,Sun,Serie A,Matchweek 19,Away,W 3–0,Milan,Empoli,Y,CM,90,0,0,0,0,0,0,0,0,110.0,3.0,0,1.0,0.0,0.0,0.1,5.0,1.0,95.0,102.0,93.1,7.0,68.0,1.0,Yacine Adli
2024-01-14,Sun,Serie A,Matchweek 20,Home,W 3–1,Milan,Roma,Y,CM,88,1,0,0,0,1,1,0,0,74.0,3.0,2,1.0,0.2,0.2,0.1,5.0,2.0,57.0,63.0,90.5,1.0,40.0,1.0,Yacine Adli
2024-01-20,Sat,Serie A,Matchweek 21,Away,W 3–2,Milan,Udinese,Y,CM,90,0,0,0,0,1,0,0,0,103.0,4.0,4,1.0,0.1,0.1,0.1,5.0,0.0,78.0,93.0,83.9,6.0,75.0,6.0,Yacine Adli
2024-01-27,Sat,Serie A,Matchweek 22,Home,D 2–2,Milan,Bologna,Y,DM,58,0,0,0,0,0,0,1,0,54.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,44.0,52.0,84.6,6.0,23.0,2.0,Yacine Adli
2024-02-03,Sat,Serie A,Matchweek 23,Away,W 3–2,Milan,Frosinone,Y,DM,90,0,0,0,0,0,0,0,0,68.0,0.0,2,1.0,0.0,0.0,0.0,4.0,1.0,53.0,63.0,84.1,6.0,50.0,1.0,Yacine Adli
2024-02-11,Sun,Serie A,Matchweek 24,Home,W 1–0,Milan,Napoli,Y,"DM,CM",90,0,0,0,0,0,0,0,0,71.0,1.0,1,3.0,0.0,0.0,0.1,3.0,0.0,47.0,56.0,83.9,5.0,33.0,1.0,Yacine Adli
2024-02-18,Sun,Serie A,Matchweek 25,Away,L 2–4,Milan,Monza,Y,DM,45,0,0,0,0,0,0,0,0,58.0,0.0,1,1.0,0.0,0.0,0.0,2.0,0.0,44.0,54.0,81.5,5.0,42.0,1.0,Yacine Adli
2024-02-25,Sun,Serie A,Matchweek 26,Home,D 1–1,Milan,Atalanta,Y,DM,90,0,0,0,0,1,0,0,0,100.0,2.0,1,2.0,0.0,0.0,0.0,5.0,0.0,77.0,94.0,81.9,13.0,60.0,2.0,Yacine Adli
2024-03-01,Fri,Serie A,Matchweek 27,Away,W 1–0,Milan,Lazio,Y,DM,70,0,0,0,0,0,0,1,0,63.0,0.0,1,0.0,0.0,0.0,0.0,4.0,0.0,49.0,58.0,84.5,10.0,38.0,1.0,Yacine Adli
2024-03-07,Thu,Europa Lg,Round of 16,Home,W 4–2,it Milan,cz Slavia Prague,Y,DM,90,0,0,0,0,0,0,0,0,84.0,1.0,2,2.0,0.0,0.0,0.1,4.0,0.0,66.0,77.0,85.7,7.0,72.0,0.0,Yacine Adli
2024-03-14,Thu,Europa Lg,Round of 16,Away,W 3–1,it Milan,cz Slavia Prague,Y,DM,90,0,0,0,0,0,0,0,0,102.0,3.0,0,0.0,0.0,0.0,0.1,2.0,0.0,90.0,99.0,90.9,5.0,94.0,1.0,Yacine Adli
2024-04-06,Sat,Serie A,Matchweek 31,Home,W 3–0,Milan,Lecce,Y,"DM,CM",90,0,2,0,0,0,0,0,0,133.0,4.0,0,2.0,0.0,0.0,0.7,6.0,2.0,111.0,125.0,88.8,8.0,84.0,1.0,Yacine Adli
2024-04-14,Sun,Serie A,Matchweek 32,Away,D 3–3,Milan,Sassuolo,Y,DM,81,0,0,0,0,0,0,0,0,73.0,2.0,0,4.0,0.0,0.0,0.7,5.0,1.0,60.0,66.0,90.9,6.0,59.0,2.0,Yacine Adli
2024-04-22,Mon,Serie A,Matchweek 33,Home,L 1–2,Milan,Inter,Y,DM,67,0,0,0,0,0,0,0,0,63.0,1.0,1,1.0,0.0,0.0,0.0,2.0,0.0,53.0,58.0,91.4,7.0,35.0,2.0,Yacine Adli
2024-04-27,Sat,Serie A,Matchweek 34,Away,D 0–0,Milan,Juventus,Y,DM,61,0,0,0,0,0,0,0,0,73.0,0.0,1,0.0,0.0,0.0,0.0,1.0,0.0,58.0,65.0,89.2,7.0,35.0,2.0,Yacine Adli
2023-08-21,Mon,Serie A,Matchweek 1,Home,L 0–2,Bologna,Milan,Y,DM,90,0,0,0,0,1.0,1.0,1,0,58.0,0.0,1.0,3.0,0.1,0.1,0.1,4.0,0.0,49.0,53.0,92.5,3.0,23.0,3.0,Michel Aebischer
2023-08-27,Sun,Serie A,Matchweek 2,Away,D 1–1,Bologna,Juventus,Y,DM,84,0,0,0,0,0.0,0.0,0,0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,42.0,95.2,2.0,20.0,0.0,Michel Aebischer
2023-09-02,Sat,Serie A,Matchweek 3,Home,W 2–1,Bologna,Cagliari,Y,DM,83,0,0,0,0,1.0,0.0,0,0,99.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,94.0,96.0,97.9,13.0,78.0,4.0,Michel Aebischer
2023-09-18,Mon,Serie A,Matchweek 4,Away,D 0–0,Bologna,Hellas Verona,Y,DM,90,0,0,0,0,0.0,0.0,0,0,54.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,48.0,48.0,100.0,5.0,37.0,0.0,Michel Aebischer
2023-09-24,Sun,Serie A,Matchweek 5,Home,D 0–0,Bologna,Napoli,Y*,DM,90,0,0,0,0,0.0,0.0,1,0,56.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,49.0,51.0,96.1,2.0,28.0,0.0,Michel Aebischer
2023-09-28,Thu,Serie A,Matchweek 6,Away,D 0–0,Bologna,Monza,Y,DM,90,0,0,0,0,0.0,0.0,0,0,71.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,55.0,65.0,84.6,5.0,53.0,0.0,Michel Aebischer
2023-10-07,Sat,Serie A,Matchweek 8,Away,D 2–2,Bologna,Inter,Y,AM,90,0,0,0,0,0.0,0.0,0,0,50.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,34.0,37.0,91.9,3.0,13.0,0.0,Michel Aebischer
2023-10-22,Sun,Serie A,Matchweek 9,Home,W 2–1,Bologna,Frosinone,Y,DM,90,0,0,0,0,0.0,0.0,1,0,84.0,5.0,1.0,0.0,0.0,0.0,0.1,2.0,0.0,67.0,77.0,87.0,8.0,43.0,0.0,Michel Aebischer
2023-10-28,Sat,Serie A,Matchweek 10,Away,D 1–1,Bologna,Sassuolo,Y,DM,68,0,1,0,0,0.0,0.0,0,0,57.0,1.0,0.0,3.0,0.0,0.0,0.5,1.0,1.0,48.0,51.0,94.1,2.0,41.0,0.0,Michel Aebischer
2023-11-03,Fri,Serie A,Matchweek 11,Home,W 1–0,Bologna,Lazio,Y*,DM,72,0,0,0,0,0.0,0.0,0,0,52.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,41.0,45.0,91.1,2.0,37.0,2.0,Michel Aebischer
2023-11-12,Sun,Serie A,Matchweek 12,Away,L 1–2,Bologna,Fiorentina,Y*,DM,90,0,0,0,0,0.0,0.0,1,0,63.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,52.0,56.0,92.9,9.0,45.0,3.0,Michel Aebischer
2023-11-27,Mon,Serie A,Matchweek 13,Home,W 2–0,Bologna,Torino,Y*,DM,54,0,0,0,0,0.0,0.0,0,0,45.0,1.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,33.0,39.0,84.6,3.0,31.0,1.0,Michel Aebischer
2023-12-03,Sun,Serie A,Matchweek 14,Away,D 1–1,Bologna,Lecce,Y*,CM,57,0,0,0,0,0.0,0.0,0,0,61.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,54.0,59.0,91.5,5.0,30.0,1.0,Michel Aebischer
2024-01-14,Sun,Serie A,Matchweek 20,Away,L 1–2,Bologna,Cagliari,Y,AM,65,0,0,0,0,0.0,0.0,0,0,29.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,26.0,84.6,2.0,20.0,0.0,Michel Aebischer
2024-01-27,Sat,Serie A,Matchweek 22,Away,D 2–2,Bologna,Milan,Y,DM,66,0,0,0,0,0.0,0.0,0,0,29.0,1.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,23.0,25.0,92.0,3.0,18.0,0.0,Michel Aebischer
2024-02-03,Sat,Serie A,Matchweek 23,Home,W 4–2,Bologna,Sassuolo,Y,RM,57,0,0,0,0,1.0,0.0,1,0,51.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,38.0,44.0,86.4,6.0,37.0,1.0,Michel Aebischer
2024-02-14,Wed,Serie A,Matchweek 21,Home,W 2–0,Bologna,Fiorentina,Y,CM,69,0,0,0,0,1.0,0.0,0,0,36.0,1.0,0.0,1.0,0.0,0.0,0.2,2.0,0.0,26.0,27.0,96.3,4.0,14.0,1.0,Michel Aebischer
2024-03-09,Sat,Serie A,Matchweek 28,Home,L 0–1,Bologna,Inter,Y,CM,68,0,0,0,0,1.0,0.0,0,0,46.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,39.0,42.0,92.9,3.0,37.0,0.0,Michel Aebischer
2024-04-01,Mon,Serie A,Matchweek 30,Home,W 3–0,Bologna,Salernitana,Y,"CM,DM",90,0,0,0,0,0.0,0.0,0,0,95.0,1.0,0.0,0.0,0.0,0.0,0.1,2.0,0.0,85.0,92.0,92.4,7.0,46.0,0.0,Michel Aebischer
2024-04-07,Sun,Serie A,Matchweek 31,Away,D 0–0,Bologna,Frosinone,Y,CM,68,0,0,0,0,2.0,1.0,0,0,41.0,2.0,0.0,0.0,0.4,0.4,0.0,0.0,0.0,29.0,35.0,82.9,1.0,31.0,0.0,Michel Aebischer
2024-04-13,Sat,Serie A,Matchweek 32,Home,D 0–0,Bologna,Monza,Y,CM,90,0,0,0,0,0.0,0.0,0,0,52.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,46.0,49.0,93.9,5.0,31.0,1.0,Michel Aebischer
2024-04-22,Mon,Serie A,Matchweek 33,Away,W 3–1,Bologna,Roma,Y,CM,90,0,0,0,0,1.0,0.0,0,0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,45.0,95.6,5.0,31.0,0.0,Michel Aebischer
2024-04-28,Sun,Serie A,Matchweek 34,Home,D 1–1,Bologna,Udinese,Y,CM,90,0,0,0,0,3.0,1.0,0,0,91.0,3.0,1.0,0.0,0.1,0.1,0.0,3.0,0.0,66.0,74.0,89.2,4.0,56.0,3.0,Michel Aebischer
2024-05-03,Fri,Serie A,Matchweek 35,Away,D 0–0,Bologna,Torino,Y,CM,81,0,0,0,0,2.0,1.0,1,0,69.0,1.0,1.0,2.0,0.1,0.1,0.1,2.0,0.0,49.0,58.0,84.5,4.0,46.0,3.0,Michel Aebischer
2024-05-11,Sat,Serie A,Matchweek 36,Away,W 2–0,Bologna,Napoli,Y,DM,90,0,0,0,0,0.0,0.0,0,0,65.0,2.0,0.0,1.0,0.0,0.0,0.1,2.0,0.0,49.0,54.0,90.7,3.0,38.0,0.0,Michel Aebischer
2024-01-28,Sun,La Liga,Matchweek 22,Home,D 1–1,Sevilla,Osasuna,Y,CM,58,0,0,0,0,0,0,1,0,39,1,0,1,0.0,0.0,0.0,2,0,31,36,86.1,1,10,0,Lucien Agoume
2024-02-05,Mon,La Liga,Matchweek 23,Away,W 2–1,Sevilla,Rayo Vallecano,Y,CM,81,0,0,0,0,1,0,0,0,39,3,2,1,0.0,0.0,0.0,2,0,23,31,74.2,4,16,0,Lucien Agoume
2024-04-22,Mon,La Liga,Matchweek 32,Home,W 2–1,Sevilla,Mallorca,Y,CM,45,0,0,0,0,0,0,0,0,35,0,0,0,0.0,0.0,0.0,1,0,28,33,84.8,1,21,0,Lucien Agoume
2024-04-28,Sun,La Liga,Matchweek 33,Away,D 1–1,Sevilla,Betis,Y,CM,90,0,0,0,0,0,0,0,0,33,2,1,2,0.0,0.0,0.0,2,0,24,27,88.9,2,23,0,Lucien Agoume
2024-05-05,Sun,La Liga,Matchweek 34,Home,W 3–0,Sevilla,Granada,Y,CM,90,0,0,0,0,0,0,0,0,67,4,1,0,0.0,0.0,0.1,1,0,53,59,89.8,3,49,1,Lucien Agoume
2024-05-11,Sat,La Liga,Matchweek 35,Away,L 2–3,Sevilla,Villarreal,Y,CM,90,0,0,0,0,1,0,1,0,37,2,1,1,0.1,0.1,0.0,0,0,23,29,79.3,1,17,1,Lucien Agoume
2024-05-15,Wed,La Liga,Matchweek 36,Home,L 0–1,Sevilla,Cádiz,Y,CM,90,0,0,0,0,0,0,1,0,57,5,0,0,0.0,0.0,0.2,7,0,43,47,91.5,11,30,3,Lucien Agoume
2023-12-22,Fri,Serie A,Matchweek 17,Home,L 0–1,Monza,Fiorentina,Y,CM,90,0,0,0,0,0,0,1,0,40,4,2,0,0.0,0.0,0.1,2,0,23,29,79.3,1,21,0,Jean-Daniel Akpa-Akpro
2023-12-29,Fri,Serie A,Matchweek 18,Away,D 0–0,Monza,Napoli,Y,CM,61,0,0,0,0,0,0,0,0,31,1,2,2,0.0,0.0,0.0,0,0,21,26,80.8,2,23,0,Jean-Daniel Akpa-Akpro
2024-01-28,Sun,Serie A,Matchweek 22,Home,W 1–0,Monza,Sassuolo,Y,CM,45,0,0,0,0,1,0,1,0,17,0,0,0,0.0,0.0,0.0,0,0,11,14,78.6,0,10,0,Jean-Daniel Akpa-Akpro
2024-03-09,Sat,Serie A,Matchweek 28,Away,W 3–2,Monza,Genoa,Y,"DM,CM",74,0,0,0,0,0,0,0,0,24,4,0,0,0.0,0.0,0.0,0,0,10,13,76.9,0,8,1,Jean-Daniel Akpa-Akpro
2024-03-30,Sat,Serie A,Matchweek 30,Away,L 0–1,Monza,Torino,Y,CB,69,0,0,0,0,0,0,0,0,35,3,2,2,0.0,0.0,0.0,0,0,19,23,82.6,0,13,1,Jean-Daniel Akpa-Akpro
2024-04-07,Sun,Serie A,Matchweek 31,Home,L 2–4,Monza,Napoli,Y,CM,53,0,0,0,0,1,0,1,0,32,1,3,1,0.0,0.0,0.0,0,0,22,25,88.0,1,18,1,Jean-Daniel Akpa-Akpro
2024-04-13,Sat,Serie A,Matchweek 32,Away,D 0–0,Monza,Bologna,Y,DM,78,0,0,0,0,0,0,1,0,34,1,1,3,0.0,0.0,0.0,0,0,22,25,88.0,0,10,1,Jean-Daniel Akpa-Akpro
2024-04-27,Sat,Serie A,Matchweek 34,Away,D 1–1,Monza,Lecce,Y,DM,68,0,0,0,0,0,0,0,0,47,0,0,0,0.0,0.0,0.0,0,0,40,44,90.9,3,33,3,Jean-Daniel Akpa-Akpro
2023-08-20,Sun,Serie A,Matchweek 1,Away,L 1–2,Lazio,Lecce,Y,LM,90,0,1,0,0,3,1,0,0,75.0,2.0,0,2.0,0.1,0.1,0.3,2.0,1.0,52.0,62.0,83.9,7.0,33.0,1.0,Luis Alberto
2023-08-27,Sun,Serie A,Matchweek 2,Home,L 0–1,Lazio,Genoa,Y,LM,90,0,0,0,0,1,1,0,0,123.0,1.0,0,1.0,0.0,0.0,0.0,7.0,0.0,91.0,116.0,78.4,18.0,92.0,10.0,Luis Alberto
2023-09-02,Sat,Serie A,Matchweek 3,Away,W 2–1,Lazio,Napoli,Y,LM,90,1,0,0,0,1,1,1,0,61.0,2.0,0,0.0,0.3,0.3,0.0,2.0,0.0,39.0,52.0,75.0,9.0,41.0,4.0,Luis Alberto
2023-09-16,Sat,Serie A,Matchweek 4,Away,L 1–3,Lazio,Juventus,Y,LM,90,1,0,0,0,2,1,0,0,94.0,0.0,1,1.0,0.1,0.1,0.2,8.0,0.0,72.0,88.0,81.8,18.0,58.0,9.0,Luis Alberto
2023-09-19,Tue,Champions Lg,Group stage,Home,D 1–1,it Lazio,es Atlético Madrid,Y,LM,90,0,1,0,0,4,1,0,0,111.0,0.0,0,2.0,0.1,0.1,0.7,9.0,1.0,83.0,102.0,81.4,16.0,65.0,3.0,Luis Alberto
2023-09-23,Sat,Serie A,Matchweek 5,Home,D 1–1,Lazio,Monza,Y,LM,90,0,0,0,0,1,0,1,0,86.0,3.0,0,2.0,0.1,0.1,0.1,3.0,0.0,62.0,76.0,81.6,15.0,67.0,4.0,Luis Alberto
2023-09-27,Wed,Serie A,Matchweek 6,Home,W 2–0,Lazio,Torino,Y,LM,90,0,0,0,0,0,0,0,0,69.0,2.0,0,2.0,0.0,0.0,0.0,3.0,1.0,49.0,64.0,76.6,9.0,39.0,4.0,Luis Alberto
2023-09-30,Sat,Serie A,Matchweek 7,Away,L 0–2,Lazio,Milan,Y*,LM,90,0,0,0,0,1,0,0,0,63.0,3.0,1,4.0,0.0,0.0,0.1,6.0,0.0,39.0,50.0,78.0,6.0,35.0,4.0,Luis Alberto
2023-10-04,Wed,Champions Lg,Group stage,Away,W 2–1,it Lazio,sct Celtic,Y,LM,67,0,0,0,0,0,0,1,0,71.0,1.0,2,2.0,0.0,0.0,0.0,3.0,0.0,49.0,61.0,80.3,11.0,49.0,3.0,Luis Alberto
2023-10-08,Sun,Serie A,Matchweek 8,Home,W 3–2,Lazio,Atalanta,Y*,LM,55,0,0,0,0,1,0,0,0,44.0,1.0,0,0.0,0.0,0.0,0.0,2.0,0.0,31.0,39.0,79.5,4.0,18.0,0.0,Luis Alberto
2023-10-21,Sat,Serie A,Matchweek 9,Away,W 2–0,Lazio,Sassuolo,Y*,LM,78,1,0,0,0,5,1,1,0,56.0,3.0,0,2.0,1.1,1.1,0.4,6.0,0.0,33.0,42.0,78.6,5.0,22.0,3.0,Luis Alberto
2023-10-25,Wed,Champions Lg,Group stage,Away,L 1–3,it Lazio,nl Feyenoord,Y,LM,90,0,0,0,0,1,1,0,0,81.0,1.0,1,1.0,0.0,0.0,0.4,5.0,1.0,66.0,75.0,88.0,11.0,60.0,4.0,Luis Alberto
2023-10-30,Mon,Serie A,Matchweek 10,Home,W 1–0,Lazio,Fiorentina,Y*,LM,66,0,0,0,0,3,2,0,0,43.0,0.0,0,3.0,0.3,0.3,0.2,2.0,0.0,20.0,35.0,57.1,5.0,19.0,5.0,Luis Alberto
2023-11-03,Fri,Serie A,Matchweek 11,Away,L 0–1,Lazio,Bologna,Y*,LM,90,0,0,0,0,2,0,1,0,73.0,0.0,0,1.0,0.1,0.1,0.1,4.0,0.0,58.0,68.0,85.3,8.0,33.0,2.0,Luis Alberto
2023-11-07,Tue,Champions Lg,Group stage,Home,W 1–0,it Lazio,nl Feyenoord,Y,LM,90,0,0,0,0,1,0,0,0,55.0,0.0,1,0.0,0.0,0.0,0.2,3.0,0.0,37.0,47.0,78.7,5.0,28.0,0.0,Luis Alberto
